类别,伽马GR/API,钍TH/ppm,铀U/ppm,钾K/%,光电吸收截面指数Pe/bam*e-1,中子CNL/%,密度DEN/cm3
玄武质,54.684,2.6225,0.9129,1.5404,6.2662,21.3814,2.735516
玄武质,30.216,0.19,1.3382,1.0493,6.1458,21.7298,2.516515
玄武质,59.227,4.5051,1.6063,0.5829,3.5774,20.6857,2.721103
玄武质,4.996,5.6791,0.8251,1.0718,3.0976,21.6775,2.644174
玄武质,9.274,6.4941,1.1678,1.089,5.8126,19.0614,2.713031
玄武质,15.712,4.0653,1.3187,1.5724,4.7111,19.1839,2.731051
玄武质,0.612,6.0602,0.8915,1.0458,6.0232,21.7345,2.65896
玄武质,34.52,4.7459,1.6048,1.4894,3.9347,16.1032,2.702687
玄武质,58.936,1.653,1.6997,0.7462,4.5638,21.3345,2.554596
玄武质,20.746,2.7581,1.38,1.4486,4.48,20.2013,2.592389
玄武质,33.305,2.1944,0.8432,1.6407,5.3612,22.0215,2.590221
玄武质,25.083,3.9783,1.3856,0.711,4.3999,15.9744,2.492134
玄武质,57.936,5.8571,1.0926,1.6897,3.6201,22.1469,2.783837
玄武质,37.382,0.3544,1.5686,1.0388,4.8848,17.5434,2.590597
玄武质,12.549,4.9211,1.6332,1.1689,3.7289,18.298,2.539992
玄武质,54.113,5.185,1.0254,0.8143,6.9707,21.9766,2.642432
玄武质,13.878,5.095,0.8187,1.4317,6.4927,21.8867,2.710078
玄武质,15.493,1.4134,0.8646,1.6289,6.7368,14.408,2.789505
玄武质,35.866,3.1715,0.7845,1.3317,6.3034,22.0402,2.57255
玄武质,11.621,6.3434,0.731,0.6708,5.4036,19.1337,2.595326
玄武质,24.046,0.1306,1.5869,1.0508,4.4646,16.3463,2.70244
玄武质,28.525,6.2022,0.8408,0.9989,4.5708,19.8472,2.789806
玄武质,30.198,2.4716,1.3422,0.8211,6.6109,20.2059,2.769442
玄武质,52.698,1.2542,1.2014,0.937,4.8179,17.2624,2.705852
玄武质,26.35,5.5589,1.1197,1.0525,3.2102,19.2212,2.716367
玄武质,43.429,3.1338,1.2982,0.8614,4.501,18.1581,2.530494
玄武质,1.301,0.987,0.8923,1.4935,3.8033,14.834,2.717768
玄武质,37.318,6.0991,1.1772,0.7525,4.4362,19.9991,2.73231
玄武质,59.081,0.0325,1.5577,0.6152,6.5852,15.7115,2.560502
玄武质,27.389,5.8493,0.7274,1.3815,5.4747,19.9707,2.781307
玄武质,36.614,6.3223,1.3198,0.8665,6.8575,20.4511,2.694794
玄武质,24.796,0.4976,1.2585,0.6917,6.1061,20.3142,2.551218
玄武质,42.181,6.0148,1.2723,1.182,6.8391,21.7945,2.796086
玄武质,27.959,5.8734,1.4462,0.5769,3.9501,19.1699,2.579345
玄武质,42.597,1.4498,1.5102,1.1481,4.7638,15.5875,2.548392
玄武质,22.164,3.6283,1.0785,1.3615,5.524,21.566,2.626924
玄武质,25.576,1.1263,1.0317,0.5242,5.487,15.8755,2.675552
玄武质,8.385,2.9822,1.145,0.8766,4.1946,15.5986,2.547176
玄武质,42.716,2.6341,1.6133,1.5231,3.4009,18.4656,2.678311
玄武质,58.909,2.3082,1.6098,1.5579,4.2188,15.4802,2.497914
玄武质,33.047,1.7863,0.9826,1.5761,5.6388,18.8432,2.674697
玄武质,33.096,6.3935,0.863,0.55,5.912,16.463,2.584185
玄武质,22.121,4.8571,1.528,1.0451,6.9012,18.7042,2.492092
玄武质,0.324,1.628,0.9813,0.5349,3.8054,17.6248,2.75885
玄武质,4.141,4.7477,1.5678,1.4013,5.1011,19.5113,2.725933
玄武质,19.941,2.496,1.374,1.5848,5.467,16.7674,2.635344
玄武质,1.675,6.5083,0.7602,1.2609,3.4894,19.2663,2.73376
玄武质,46.354,4.0477,1.2472,1.0587,6.192,20.9926,2.499054
玄武质,55.484,0.5954,1.5644,1.6357,5.6394,15.4854,2.724185
玄武质,40.097,0.9063,1.2609,0.5905,4.3011,17.2536,2.669127
玄武质,5.969,5.4477,1.3636,1.1805,4.8552,22.0127,2.661217
玄武质,59.775,6.621,1.6579,1.3574,3.8503,18.5664,2.798367
玄武质,19.389,6.1661,0.8197,1.64,3.1654,20.0711,2.693533
玄武质,22.981,0.1099,1.55,0.5795,6.0027,16.6939,2.527746
玄武质,8.76,1.63,1.6976,1.3508,5.4199,19.1939,2.604994
玄武质,38.344,3.8739,1.1741,1.5313,5.9287,21.4014,2.514929
玄武质,20.502,0.7469,1.2634,1.565,4.7676,17.2213,2.72749
玄武质,40.167,5.5984,1.0443,1.0284,6.4999,15.0547,2.747615
玄武质,25.121,5.4579,0.85,1.6274,4.6363,22.045,2.62779
玄武质,11.8,4.5951,0.8307,0.7089,4.8393,20.3568,2.667676
